id,tokens
10024168,14482
10387010,15955
10525416,18138
10715133,17115
11015228,19534
11112542,12406
11409904,7434
11551186,78180
11575922,15732
11602252,7942
11800557,18266
11833079,9033
11911367,38441
12400701,5598
12444967,17446
12458083,8960
12485161,14071
12783536,4741
12795611,28387
1280808,9188
12919950,11987
1408757,11547
1425576,12085
14573613,11536
14690435,19149
15025472,10853
15109919,12315
15115797,9799
15288780,23315
15294072,11456
15600344,13392
15625232,20593
1570323,11149
15910000,8910
15966746,23982
16186371,15340
16252007,12621
16262257,13945
16391005,19681
16753066,10261
16859740,11076
1689847,9146
16990549,8881
17068208,11653
17196404,11228
17284611,12593
17330961,17556
1736306,9735
17464286,99547
1762907,7978
17990888,4976
18558617,14601
18644842,13148
18684993,13535
1911762,15328
19326878,14191
19357090,16003
19634899,4959
19703941,7358
19732019,8307
20547881,86302
20630470,17837
20739352,13706
20923239,13439
21080636,6434
21257745,10953
21395279,15853
21510668,11971
21523306,11753
21717014,24341
22626870,14958
22958171,11554
23113700,12262
23358821,17535
23485334,14036
23583885,43709
23679108,11642
24096303,15970
24240507,9973
24747051,14376
25410397,15066
25854917,13606
25918425,14135
25981451,7924
26125657,15242
26167874,10262
26218121,10752
26385510,10570
2646593,18093
26473980,6470
2684642,14861
27153229,39488
27398999,13819
27506560,142690
27858507,11988
27863022,15663
28192411,21262
28825710,15341
29107885,10398
29675226,67077
30102530,7105
30462314,18093
31017785,17982
31160698,14385
31322805,11530
31328021,14095
31414597,10765
31804735,29760
31932223,5253
31959957,14426
32245964,15040
32944725,251610
33142406,12722
33622172,12875
33753927,23695
34028252,13453
35438748,8464
36194523,13579
36610789,19550
36985227,10471
37110852,11374
37207331,10696
37326001,15227
37388692,13237
37648674,17799
38296822,19622
38301022,23893
38574237,32834
38869058,64051
38940693,10155
39051544,19966
39116094,15041
39248110,15905
39374779,15119
7487885,70619
7495810,12204
7506830,7912
7510389,13214
7524035,14243
7524667,15466
7527660,25114
7535099,112408
7578148,23882
7618102,9698
7809628,8841
7831794,8362
7835347,13983
7893710,21614
8117737,17852
8233777,84173
8332458,10918
8346207,10087
8371986,11477
8399208,19808
8499432,21329
8530348,7043
8602353,9539
8618931,10636
8639595,15323
8925893,8780
9089402,11653
9521704,19216
9773979,11280
9836591,12962
bioRxiv581837,15300
bioRxiv_560155,18238
bioRxiv_617851,9668
KoreanChemSoc1038,4309
